"","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths"
"Madagascar","12 571 [4 890-23 400]","10 265 [4 050-18 800]","5 026 [2 050-9 120]","4 750 [1 960-8 550]","4 873 [2 060-8 610]","3 482 [1 480-6 050]","5 800 [2 480-10 200]","2 665 [1 130-4 720]","3 701 [1 470-7 170]","3 941 [1 520-7 730]","2 035 [770-3 850]","2 208 [820-4 460]","2 182 [840-4 350]","1 160 [430-2 410]","1 092 [260-2 560]","1 647 [71-4 300]","1 638 [64-4 310]","2 062 [93-5 350]","2 917 [76-7 880]","2 221 [69-5 890]","2 747 [290-6 900]","2 239 [190-5 830]"
"Malawi","7 392 [6 310-9 230]","7 400 [6 300-9 200]","7 061 [6 260-8 160]","7 021 [6 280-7 990]","7 024 [6 350-7 850]","6 954 [6 370-7 630]","7 023 [6 520-7 600]","7 365 [6 930-7 870]","7 925 [7 530-8 390]","9 015 [8 580-9 520]","9 906 [9 400-10 500]","10 817 [10 200-11 500]","11 492 [10 900-12 200]","11 588 [11 000-12 200]","11 175 [10 700-11 700]","10 424 [9 970-10 900]","10 078 [9 620-10 600]","10 600 [10 100-11 100]","12 078 [11 500-12 600]","14 390 [13 700-15 100]","16 919 [16 100-17 800]","18 170 [17 300-19 100]"
"Malaysia","0","0","0","0","1","2","4","4","10","11","11","13","23","20","15","21","33","35","21","38","46","35"
"Mali","19 933 [14 600-27 400]","20 662 [15 100-28 000]","18 630 [15 300-22 600]","18 423 [15 500-21 800]","15 442 [13 300-17 900]","14 736 [12 900-16 800]","17 783 [15 800-20 000]","22 863 [20 500-25 400]","25 545 [23 200-28 100]","23 944 [21 900-26 200]","20 247 [18 700-22 000]","17 356 [16 100-18 700]","17 172 [16 000-18 400]","19 237 [18 000-20 600]","21 774 [20 400-23 200]","23 397 [22 000-24 900]","23 776 [22 400-25 300]","22 551 [21 300-23 900]","21 913 [20 700-23 200]","22 339 [21 100-23 700]","22 250 [21 000-23 600]","24 739 [23 400-26 200]"
"Mauritania","1 144 [980-1 500]","1 129 [970-1 460]","1 114 [950-1 440]","1 085 [930-1 380]","1 069 [920-1 340]","1 049 [910-1 310]","1 032 [890-1 280]","996 [870-1 210]","953 [840-1 130]","939 [840-1 100]","902 [810-1 040]","869 [790-990]","874 [790-990]","867 [790-970]","863 [790-960]","874 [800-960]","880 [820-960]","845 [790-910]","877 [820-940]","880 [830-940]","900 [850-950]","937 [890-990]"
"Mauritius","0","","","","","","","","","","","","","","","","","","","","",""
"Mayotte","","","0 [0-0]","0 [0-0]","0 [0-0]","0 [0-0]","0 [0-0]","0 [0-0]","0 [0-0]","0 [0-0]","0 [0-0]","1 [0-2]","0 [0-1]","1 [0-4]","1 [0-4]","1 [0-5]","2 [0-8]","4 [0-13]","4 [0-14]","","",""
"Mexico","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Morocco","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mozambique","22 291 [13 900-37 800]","23 693 [14 700-40 300]","19 156 [14 500-26 700]","19 200 [14 900-25 900]","21 403 [17 000-28 100]","22 857 [18 600-29 200]","23 519 [19 600-29 000]","24 756 [21 000-29 700]","25 425 [22 100-29 500]","25 176 [22 400-28 500]","25 686 [23 300-28 500]","26 140 [24 000-28 600]","25 990 [24 000-28 200]","25 587 [23 600-27 700]","26 006 [24 000-28 100]","27 304 [25 200-29 500]","27 220 [25 100-29 400]","31 912 [29 500-34 500]","36 977 [34 200-39 900]","40 972 [38 000-44 200]","44 168 [41 000-47 600]","44 699 [41 500-48 100]"
"Myanmar","231 [98-990]","77 [39-120]","97 [48-160]","164 [79-270]","209 [99-340]","274 [130-440]","481 [230-790]","729 [320-1 310]","1 169 [530-2 090]","3 412 [1 520-6 310]","3 214 [1 440-5 580]","3 623 [1 580-6 490]","3 023 [1 380-5 410]","3 222 [1 460-5 890]","2 560 [1 160-4 660]","2 041 [870-3 870]","2 874 [1 280-5 320]","2 851 [1 230-5 240]","2 826 [1 210-5 240]","2 799 [1 220-5 190]","2 771 [1 210-5 100]","2 742 [1 190-5 050]"
"Namibia","54 [23-92]","51 [22-87]","14 [6-26]","128 [56-220]","228 [100-380]","82 [36-140]","38 [17-65]","65 [28-110]","20 [8-33]","13 [3-32]","7 [3-15]","6 [1-19]","15 [1-53]","30 [2-97]","52 [11-150]","174 [66-350]","167 [57-370]","270 [89-630]","172 [48-430]","180 [56-420]","263 [93-580]","198 [56-470]"
"Nepal","0","0","0","1 [0-2]","0 [0-1]","2 [0-4]","2 [0-6]","3 [0-7]","6 [2-13]","13 [5-31]","16 [5-39]","27 [9-64]","21 [7-55]","25 [7-66]","39 [12-96]","32 [9-85]","26 [7-69]","24 [7-61]","46 [15-110]","62 [23-130]","28 [7-70]","25 [9-49]"
"Nicaragua","0","0","1","3","1","2","1","0","0","2","1","1","0","0","0","1","6","1","7","8","2","4"
"Niger","24 997 [15 300-42 700]","24 068 [15 400-39 200]","22 568 [15 300-34 200]","22 047 [15 400-32 200]","23 815 [17 100-33 400]","26 110 [19 300-35 500]","26 184 [19 900-34 500]","27 969 [21 900-35 700]","28 864 [23 200-35 800]","28 977 [24 000-34 700]","28 225 [24 000-33 000]","26 471 [23 100-30 300]","23 951 [21 300-26 900]","21 260 [19 200-23 500]","20 076 [18 400-21 900]","19 349 [17 800-21 000]","20 011 [18 500-21 600]","17 876 [16 600-19 300]","19 133 [17 800-20 600]","21 344 [19 900-23 000]","23 238 [21 600-25 000]","26 182 [24 400-28 100]"
